username,date,content,video_title
@ISVVVc628,4 years ago,Released on November 4th 1984.,Madonna - Like A Virgin (Official Video)
@nakaniko,2 years ago (edited), @Dano-Bujar  ? A fan Is imho one that loves almost all her songs... I cannot say this. Having a bad day?,Madonna - Frozen (Official Video) [HD]
@luxeglam,2 months ago,2:13 ❤,Madonna Vs Sickick - Frozen (Fireboy DML Remix) [Official Music Video]
@eMBr188,10 months ago,Yeah 😊,Madonna - Jump (Official Video) [HD]
@albertopezzi6944,7 years ago,Sheels1976 Rossella Corazzin,Madonna - True Blue (Official Video)
@org6760,5 years ago,How old are you?,Madonna - Girl Gone Wild (Official Video)
@makeupwithalli8065,3 years ago,My song 🔥🔥🔥🔥🔥🔥🔥,Madonna - Back That Up To The Beat (Official Lyric Video)
@emiliyam19,2 years ago,"She actually still is. Her new tour is amazing, nobody comes close.",Madonna - Vogue (Official Video)
@rennycunila4444,8 years ago,ADORO!!!!!!!,Madonna - Girl Gone Wild
@vertbeke7977,1 year ago,👍♥️,Madonna  - Give It 2 Me feat. Pharrell (Official Video)
@maidelyspuga5460,3 years ago,Sin dudas ella es un ser único nacido para brillar😎,Madonna - Vogue (MDNA World Tour)
@pbmxnd,2 years ago,Oja welk jaar was dit?,Madonna - You'll See (Official Video)
@Abi-x7l,2 days ago,Me,Madonna - Back That Up To The Beat (Official Lyric Video)
@MrKarmapolice97,5 months ago,I remember being a little 8 year old boy and I had this cassette tape when it came out 1986.,Madonna - True Blue (Official Video)
@crtpitt3722,1 year ago,I love all Madonna's eras. She still survive of all haters. ❤❤❤,Madonna - Express Yourself (Official Video)
@arifhassanali,5 years ago,sending <3 from canada,Madonna - Rain (Official Video) [HD]
@t.o.o.smooth5870,4 years ago,Thanks boo.,Madonna - Justify My Love (Official Video) [HD]
@CatherineSwasey,7 months ago,​ @eastcoastgrandison4855 she is a iconic star and a incredible magician,Madonna - Cherish (Official Video) [HD]
@AngelicaEsparza-y1g,2 years ago,Sorry ❤❤,Madonna - Open Your Heart (Official Video) [HD]
@jluebs,4 years ago, @newbie2007  I'd agree with that except 'Confessions on a Dance Floor' came after 'American Life' and I don't think anyone would agree with you that COADF was her 'trying too hard.',Madonna - Girl Gone Wild (Official Video)
@Sparkle0501,4 years ago,Its terrible my ears hurts,Madonna - Die Another Day (Official Video)
@marioalt9420,4 days ago,Cause William Orbit is a genius.,Madonna - The Power Of Good-Bye (Official Video)
@lastonestanding1641,3 years ago,Look at her today ahahahaaa,Madonna - Papa Don't Preach (Official Video) [HD]
@luizguilhermemoreirasales1548,4 years ago,YES  MADONNA BIG STAR HELLO I FROM BRASIL 😎🙏🇧🇷,Madonna  - Give It 2 Me feat. Pharrell (Official Video)
@stevencoardvenice,3 years ago,Yup.  2022.   Used to go raving from 99 to 2002.  Surprised no one played this,Madonna - Ray Of Light (Official Video) [HD]
@Habbohq10,4 years ago,"Música épica tem que ter remix mesmo, faltou ela ser extendida, achei muito curta, tenho que ficar repetindo toda hora de tão foda que tá",Madonna Vs Sickick - Frozen (Fireboy DML Remix) [Official Music Video]
@oppianolicario9180,4 months ago,Aqui!!!!!!!!!!!,Madonna - What It Feels Like For A Girl (Official Video) [HD]
@user-rd5jx9el8r,2 weeks ago,"What of this is ahead? Its trance, very 90s sound",Madonna - What It Feels Like For A Girl (Official Video) [HD]
@kendall8954,5 years ago,I take that back there was a photo of her on my friends IG. I thought it was of my friend.,Madonna - Beautiful Stranger (Official Video) [HD]
@jetirawa3255,8 years ago,This song was a No.1 in Italy and No.1 on the billboard dance charts!!!!!,Madonna - Girl Gone Wild
@shwetabhayade7380,1 year ago,Me!!,Madonna - Girl Gone Wild (Official Video)
@LilChav-lu1yy,2 years ago,"Madonna, love you forever! ❤ ❤ ❤",Madonna - Justify My Love (Official Video) [HD]
@KawyaRathnayake,2 years ago,Me❤️❤️,Madonna - You'll See (Official Video)
@osvaldobasso4836,6 years ago,"It will become a clasic song, just like human nature, it wasn't a hit back then too.",Madonna - Ghosttown
@patrickoleary2862,2 years ago,They hadn't the first clue about music whoever said that.,Madonna - Cherish (Official Video) [HD]
@rorschachbr2815,1 year ago,Essa música é mó chave slk,Madonna Vs Sickick - Frozen (Fireboy DML Remix) [Official Music Video]
@Sophie1-t4f,1 year ago,Moi j’adore la madone toute ma jeunesse ❤❤❤❤,Madonna - Girl Gone Wild (Official Video)
@SilverTrees0219,4 years ago,Be sure to check out the associated album Ray Of Light out in 1998. It's a gem of a electro/ pop album.,Madonna - Nothing Really Matters (Official Video) [HD]
@jorgekox,6 years ago,Yo creí que era de Paul Oakenfold,Madonna - What It Feels Like For A Girl (Official Video) [HD]
@daryltorrenteapole9486,1 year ago,Family Guy reference.,Madonna - Ray Of Light (Official Video) [HD]
@javanbedrock_official,5 days ago,x0.80 is perfection,Madonna - Back That Up To The Beat (Official Lyric Video)
@lucvanwassenhove4784,3 years ago,"For me one of the best Madonna  songs , like the beat and  very underrated , sounds fresh these days 😉❤️👏💯",Madonna  - Give It 2 Me feat. Pharrell (Official Video)
@bcarlosd,5 years ago,You’re referring to the “Erotica” video. MTV only played that once after midnight. Justify My Love never was played on MTV America.,Madonna - Justify My Love (Official Video) [HD]
@mariahpiner4634,9 years ago,Michael Owen I agree,Madonna - Ghosttown
@VANESSITAHQ,6 years ago,🙋🏽‍♀️🙋🏽‍♀️🙋🏽‍♀️🙋🏽‍♀️,"Madonna, Maluma - Medellín"
